shipper,shippers_reference,vessel_aircraft,voyage_no,place_of_receipt,port_of_loading,port_of_discharge,place_of_delivery,final_destination,ping_seq,ping_time,t_hours,latitude,longitude,speed_knots,heading
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",0,2026-08-01 06:00,6.0,25.01,55.06,3.2,35.9
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",1,2026-08-01 07:29,7.5,25.3329,55.3208,15.4,35.9
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",2,2026-08-01 08:59,9.0,25.6558,55.5816,15.7,35.9
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",3,2026-08-01 10:29,10.5,25.9787,55.8424,16.0,35.9
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",4,2026-08-01 11:59,12.0,26.2819,56.1319,16.3,41.8
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",5,2026-08-01 13:29,13.5,26.5239,56.4329,16.6,131.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",6,2026-08-01 14:59,15.0,26.2597,56.7667,17.0,131.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",7,2026-08-01 16:29,16.5,25.9955,57.1004,15.2,131.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",8,2026-08-01 17:59,18.0,25.7313,57.4341,15.5,131.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",9,2026-08-01 19:29,19.49,25.5028,57.7943,15.8,118.5
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",10,2026-08-01 20:59,20.99,25.3097,58.1806,16.2,118.5
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",11,2026-08-01 22:29,22.49,25.1166,58.5669,16.5,118.5
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",12,2026-08-01 23:59,23.99,24.9234,58.9531,16.8,118.5
